Account_ID,EVENT_ID,TRANSACTION_COUNT,STATUS_ID,INPLAY_BET,AVG_BET_SIZE,MAX_BET_SIZE,MIN_BET_SIZE,STDEV_BET_SIZE
1000002,101187238,6,C,N,76.19215,189.69,7.5876,76.8037608561391
1000002,101187238,2,S,N,278.8443,379.38,178.3086,142.178950442673
1000002,101187238,43,S,Y,142.274117093023,758.76,3.7938,190.065260804999
1000002,101187943,8,C,N,169.758,471.55,3.7724,188.339556086675
1000002,101187943,69,S,Y,182.08664057971,692.838984,3.7724,150.043870359554
1000002,101191295,2,S,N,118.650076,192.52,44.780152,104.46784837227
1000002,101191295,11,S,Y,68.1380785454545,248.3508,11.377932,79.7512607432564
1000003,101187238,1,S,N,20,20,20,0
1000003,101187943,1,S,N,50,50,50,0
1000004,101187943,1,S,N,943.1,943.1,943.1,0
1000005,101187238,1,L,N,18.969,18.969,18.969,0
1000005,101187238,7,S,Y,56.907,94.845,18.969,24.4888736980695
1000005,101187238,3,S,Y,9.4845,9.4845,9.4845,0
1000005,101187943,1,C,N,18.862,18.862,18.862,0
1000005,101187943,1,C,N,13.2034,13.2034,13.2034,0
1000005,101187943,1,L,N,32.0654,32.0654,32.0654,0
1000005,101187943,2,S,Y,16.0327,18.862,13.2034,4.0012344320222
1000005,101187943,1,S,Y,9.431,9.431,9.431,0
1000006,101187238,1,S,N,47.669097,47.669097,47.669097,0
1000006,101187238,5,S,Y,8.72574,28.4535,3.7938,11.0281531009503
1000006,101187943,1,C,N,5.6586,5.6586,5.6586,0
1000006,101187943,3,L,N,5.02986666666667,5.6586,3.7724,1.08899807774547
1000006,101187943,2,S,N,12.977056,22.181712,3.7724,13.0173493521789
1000006,101187943,4,S,Y,8.4879,18.862,4.7155,6.93034132925644
1000010,101187238,2,S,N,120.45315,150.101697,90.804603,41.9293772720562
1000010,101187238,1,S,Y,24.6597,24.6597,24.6597,0
1000010,101187238,3,S,Y,301.6071,474.225,189.69,151.668987920174
1000010,101187943,1,C,N,33.9516,33.9516,33.9516,0
1000010,101187943,9,S,Y,70.0408933333333,377.24,7.5448,116.443713729432
1000011,101191295,1,S,Y,5.19804,5.19804,5.19804,0
1000012,101191295,1,S,N,5,5,5,0
1000014,101187238,1,S,Y,150,150,150,0
1000014,101187943,1,C,N,147.5,147.5,147.5,0
1000014,101187943,1,S,Y,147.5,147.5,147.5,0
1000014,101191295,1,S,N,247.28,247.28,247.28,0
1000017,101187238,1,S,N,100,100,100,0
1000017,101187238,3,S,Y,46.6666666666667,100,20,46.1880215351701
1000017,101187943,1,C,N,100,100,100,0
1000017,101187943,4,S,Y,62.5,100,15.33,44.0152163083026
1000018,101187238,1,L,N,27.69474,27.69474,27.69474,0
1000018,101187238,1,S,N,34.1442,34.1442,34.1442,0
1000018,101187943,2,S,Y,47.155,47.155,47.155,0
1000019,101187238,1,S,Y,199.1745,199.1745,199.1745,0
1000019,101187943,1,S,Y,18.862,18.862,18.862,0
1000019,101187943,2,S,Y,18.862,18.862,18.862,0
1000019,101191295,1,L,N,38.504,38.504,38.504,0
1000019,101191295,1,S,Y,19.252,19.252,19.252,0
1000022,101187238,1,C,N,57.950295,57.950295,57.950295,0
1000022,101187238,1,L,N,57.988233,57.988233,57.988233,0
1000022,101187238,1,S,N,57.950295,57.950295,57.950295,0
1000022,101187943,6,C,N,48.4690526666667,56.718034,7.601386,20.0210216024768
1000022,101187943,3,C,N,44.3194126666667,46.155314,40.64761,3.17987438701677
1000022,101187943,1,L,N,47.173862,47.173862,47.173862,0
1000022,101187943,1,S,N,74.448314,74.448314,74.448314,0
1000022,101187943,3,S,Y,42.646982,64.1308,7.186422,30.9382858955153
1000022,101187943,3,S,Y,88.236436,133.674994,46.155314,43.8563322588218
1000022,101191295,3,C,N,243.871501333333,577.56,77.008,288.982717437306
1000022,101191295,1,S,N,77.008,77.008,77.008,0
1000022,101191295,4,S,Y,134.764,481.3,10.030292,231.385703114233
1000023,101187238,2,S,Y,255.509159482758,391.069544046336,119.948774919181,191.711334370324
1000023,101187943,3,C,N,804.765112727924,1016.54540555106,508.272702775532,264.513500956144
1000023,101187943,10,S,Y,444.73861492859,1016.54540555106,9.49199272433306,368.244284892022
1000023,101191295,1,S,Y,775.352396294805,775.352396294805,775.352396294805,0
1000024,101187238,2,S,N,805.23405,815.667,794.8011,14.7544193855592
1000024,101187238,6,S,N,257.02995,764.4507,18.969,286.62517010962
1000024,101187238,2,S,Y,64.4946,94.845,34.1442,42.9219473034484
1000024,101187238,3,S,Y,65.7592,94.845,36.0411,29.4070487514473
1000024,101187943,2,C,N,16.9758,18.862,15.0896,2.66748962134813
1000024,101187943,3,C,N,46.5262666666667,75.448,28.293,25.3294491849573
1000024,101187943,7,S,Y,39.3407428571429,128.2616,8.58221,43.4081664877254
1000024,101187943,9,S,Y,29.5504666666667,64.1308,5.6586,20.161175257658
1000029,101187943,1,S,N,125.52661,125.52661,125.52661,0
1000030,101187238,1,S,Y,37.938,37.938,37.938,0
1000034,101187943,1,C,N,63.5340878469415,63.5340878469415,63.5340878469415,0
1000034,101187943,1,S,N,63.5340878469415,63.5340878469415,63.5340878469415,0
1000034,101187943,1,S,Y,31.7670439234708,31.7670439234708,31.7670439234708,0
1000034,101187943,2,S,Y,50.8272702775532,63.5340878469415,38.1204527081649,17.9701537412297
1000034,101191295,1,S,N,64.6126996912337,64.6126996912337,64.6126996912337,0
1000034,101191295,1,S,Y,64.6126996912337,64.6126996912337,64.6126996912337,0
1000037,101187238,1,C,N,948.45,948.45,948.45,0
1000037,101187238,2,S,Y,474.225,880.275414,68.174586,574.24200248601
1000037,101187943,3,C,N,471.55,471.55,471.55,0
1000037,101187943,1,S,Y,565.86,565.86,565.86,0
1000039,101187238,4,C,N,56.907,56.907,56.907,0
1000039,101187238,2,S,N,33.19575,56.907,9.4845,33.532771330819
1000039,101191295,1,C,N,115.512,115.512,115.512,0
1000039,101191295,2,S,N,59.6812,115.512,3.8504,78.9566745581398
1000042,101187238,2,S,Y,387.878112,569.07,206.686224,256.244025401587
1000042,101187238,2,S,Y,284.535,474.225,94.845,268.262170646552
1000044,101187238,2,S,N,51.2163,94.845,7.5876,61.7002992487071
1000044,101187238,1,S,N,5.6907,5.6907,5.6907,0
1000044,101187238,5,S,Y,18.969,28.4535,7.5876,10.0374513239168
1000044,101187943,1,S,N,28.293,28.293,28.293,0
1000046,101187238,1,S,Y,208.659,208.659,208.659,0
1000046,101187943,1,S,Y,47.155,47.155,47.155,0
1000048,101191295,1,S,N,97.43,97.43,97.43,0
1000050,101187238,3,S,N,63.23,115.824714,16.977255,49.7279646254187
