ACCOUNT_ID,101093194,101093076,101093312,101128269,101128387,101149398,101149516,101149634,101149870,101149988,101150106,101150224,101150348,101150480,101150598,101150716,101150834,101150952,101151090,101151214,101151342,101151486,101151606,101151748,101151878,101152014,101152132,101152275,101152395,101152576,101152715,101152836,101152954,101153072,101153190,101153308,101153426,101153544,101153662,101183757,101183237,101183885,101184013,test
1000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1000002,0,0,-1,-2,-2,-1,-2,-3,-4,-4,-4,-4,-4,-3,-2,-1,0,-1,-1,-2,-1,-1,-1,-1,-1,0,1,2,2,3,4,5,6,6,5,5,5,5,5,4,3,4,3,4
1000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1000004,0,1,0,-1,-2,-2,-3,-3,-3,-4,-5,-5,-5,-5,-5,-5,-5,-6,-6,-6,-6,-6,-6,-6,-6,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-6,-6,-6,-6,-7,-8
1000005,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-3,-3,-2,-2
1000006,0,0,0,1,1,1,2,2,1,1,2,2,3,2,2,2,3,4,4,3,4,4,4,4,4,5,4,5,5,5,4,4,4,4,5,5,6,6,6,6,7,8,9,10
1000007,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1000010,0,-1,-2,-1,-1,-2,-1,-1,-1,-1,-2,-2,-2,-1,-2,-3,-4,-3,-3,-2,-1,-1,-1,-1,0,-1,-1,0,0,-1,-2,-2,-3,-4,-3,-3,-4,-4,-4,-4,-4,-5,-5,-6
1000011,0,0,0,0,0,0,0,-1,-1,-2,-1,-1,-2,-1,0,-1,-2,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
1000013,0,0,-1,0,-1,-2,-3,-2,-3,-4,-5,-6,-7,-7,-8,-8,-8,-8,-8,-8,-8,-9,-9,-9,-10,-10,-10,-9,-10,-11,-10,-11,-12,-13,-14,-15,-16,-17,-18,-19,-19,-20,-21,-22
1000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1000015,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,6,7,8,9,10
1000016,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1000017,0,0,-1,0,0,-1,0,0,0,1,1,2,3,4,5,5,5,4,4,5,4,4,4,4,5,6,5,4,4,4,3,4,4,4,5,5,6,6,6,7,7,8,7,8
1000019,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
